number,value,datetime_start,datetime_complete,duration,params_bias_mutate_power,params_conn_add_prob,params_conn_delete_prob,params_node_add_prob,params_node_delete_prob,params_num_hidden,params_pop_size,params_single_structural_mutation,params_weight_mutate_power,state
0,23.0,2020-06-21 21:29:20.468418,2020-06-21 21:29:24.602176,0 days 00:00:04.133758000,0.544526735269805,0.25877793974033636,0.20764299325179858,0.2836525825079189,0.25275013306332983,0,61,False,0.015943259326843765,COMPLETE
1,18.0,2020-06-21 21:29:24.603173,2020-06-21 21:29:28.740127,0 days 00:00:04.136954000,0.055480551506131494,0.5902749108902046,0.09424875608954762,0.329214278870373,0.0913466132746778,0,64,False,0.046327590509129137,COMPLETE
2,52.0,2020-06-21 21:29:28.741125,2020-06-21 21:29:34.406857,0 days 00:00:05.665732000,0.1254359372112153,0.2800740376804747,0.5034146304709387,0.25327217733313434,0.44772387139718084,0,81,True,0.06539783255275458,COMPLETE
3,201.0,2020-06-21 21:29:34.407854,2020-06-21 21:29:50.208017,0 days 00:00:15.800163000,0.04163833005472511,0.16096308436125922,0.3508448459027712,0.3133793006385004,0.3360369558702735,0,93,True,1.734471287701654,COMPLETE
4,201.0,2020-06-21 21:29:50.209014,2020-06-21 21:29:56.047486,0 days 00:00:05.838472000,0.03534383538475289,0.07052222970591089,0.5480903244691926,0.20467827456596238,0.3405606509973641,0,20,False,0.002239239763183208,COMPLETE
5,201.0,2020-06-21 21:29:56.048484,2020-06-21 21:30:12.021137,0 days 00:00:15.972653000,0.0019427486366499578,0.12324420030689416,0.14292878560245184,0.4798945740026947,0.46706810930169795,0,81,True,2.9745053077578665,COMPLETE
6,38.0,2020-06-21 21:30:12.022134,2020-06-21 21:30:17.179730,0 days 00:00:05.157596000,0.03805176333387419,0.48326597254139797,0.03999961323815984,0.017093438289103483,0.31108297133602103,0,78,True,0.06419448970566664,COMPLETE
7,201.0,2020-06-21 21:30:17.180728,2020-06-21 21:30:26.458858,0 days 00:00:09.278130000,0.03585470734753834,0.18545251624132036,0.40074105627744944,0.07571654231495363,0.5050434898819983,0,54,True,0.4086919632071343,COMPLETE
8,85.0,2020-06-21 21:30:26.459855,2020-06-21 21:30:32.155712,0 days 00:00:05.695857000,0.23900157917816647,0.1864484463784413,0.30985931969891706,0.3099627386519657,0.25027308223534045,0,42,False,0.0022593391724108377,COMPLETE
9,201.0,2020-06-21 21:30:32.157707,2020-06-21 21:30:42.273020,0 days 00:00:10.115313000,3.963917085948807,0.4663725058763264,0.39375073342305256,0.38519576664912863,0.4342341572985226,0,46,False,0.743037273397877,COMPLETE
0,24.0,2020-06-21 21:30:42.389120,2020-06-21 21:30:47.076352,0 days 00:00:04.687232000,0.0018434591038945442,0.3478223148054603,0.5767049829599236,0.2417504930136669,0.40362316767064726,0,90,False,0.0011795844023406578,COMPLETE
1,49.0,2020-06-21 21:30:47.078347,2020-06-21 21:30:52.791937,0 days 00:00:05.713590000,1.2538575063912871,0.41124275811338157,0.2930526857477865,0.11914895321467922,0.486945207837807,0,79,True,0.004235979932074274,COMPLETE
2,12.0,2020-06-21 21:30:52.792935,2020-06-21 21:30:56.731668,0 days 00:00:03.938733000,0.0703489176081485,0.5753875789397475,0.3183889362444319,0.2128734189525615,0.3884444685211011,0,54,False,0.003792666345076951,COMPLETE
3,94.0,2020-06-21 21:30:56.732666,2020-06-21 21:31:04.030210,0 days 00:00:07.297544000,0.7754290039614878,0.11224545002811734,0.41638267679976315,0.4499906710361508,0.14732548561960893,0,62,True,0.24801327769404674,COMPLETE
4,29.0,2020-06-21 21:31:04.031207,2020-06-21 21:31:08.998756,0 days 00:00:04.967549000,0.0012893990635750707,0.35888377990394876,0.4493144082713178,0.43229943911247803,0.32379300132152244,0,71,True,0.11520063067721842,COMPLETE
5,201.0,2020-06-21 21:31:09.000751,2020-06-21 21:31:17.512584,0 days 00:00:08.511833000,0.07293992051967789,0.054918052187345114,0.2481534011244055,0.23352408675165875,0.24243414411395106,0,38,True,0.4925312515830172,COMPLETE
6,201.0,2020-06-21 21:31:17.513581,2020-06-21 21:31:39.680878,0 days 00:00:22.167297000,0.5659512630006484,0.4620239596527726,0.02163287312147344,0.41867532338387947,0.5368345225391096,0,98,True,2.5696458984787447,COMPLETE
7,201.0,2020-06-21 21:31:39.681875,2020-06-21 21:31:46.792165,0 days 00:00:07.110290000,3.9106261316686313,0.023452519012808037,0.4090386958059355,0.23803054043417446,0.27142164017005355,0,21,True,0.2732923801680886,COMPLETE
8,60.0,2020-06-21 21:31:46.794160,2020-06-21 21:31:54.546204,0 days 00:00:07.752044000,0.009104242026003743,0.3427594448652591,0.41597378547531494,0.5431669687443416,0.1634267344987578,0,91,True,2.3506344050116037,COMPLETE
9,26.0,2020-06-21 21:31:54.548199,2020-06-21 21:31:59.299980,0 days 00:00:04.751781000,0.5133893547016087,0.5283472821977531,0.05391340773624699,0.09236501973659413,0.15555165727491535,0,81,True,0.1511557494720281,COMPLETE
0,61.0,2020-06-21 21:31:59.324915,2020-06-21 21:32:05.406716,0 days 00:00:06.081801000,0.004368409495060498,0.5389350515945599,0.10984762262388027,0.33454406040246654,0.018671083249130565,0,63,True,0.008514969839678869,COMPLETE
1,201.0,2020-06-21 21:32:05.407713,2020-06-21 21:32:25.256941,0 days 00:00:19.849228000,3.438884573258869,0.11722826968024289,0.28334972979039463,0.504216468071413,0.4633853704093975,0,89,True,1.3425245056238144,COMPLETE
2,201.0,2020-06-21 21:32:25.258936,2020-06-21 21:32:48.105254,0 days 00:00:22.846318000,7.940273846097157,0.07316419541859213,0.13692933153182385,0.523562897024828,0.3955770518102419,0,69,False,0.7591189786804634,COMPLETE
3,36.0,2020-06-21 21:32:48.106251,2020-06-21 21:32:53.098013,0 days 00:00:04.991762000,0.16460055466342557,0.39135053364165573,0.4123482196942764,0.5456819169473145,0.49228265140658883,0,72,False,0.037026323205732736,COMPLETE
4,31.0,2020-06-21 21:32:53.099010,2020-06-21 21:32:57.669335,0 days 00:00:04.570325000,0.001280287113762142,0.4890809538934351,0.11413959911927123,0.5380782400279845,0.5842981514790472,0,60,False,0.01739292347675799,COMPLETE
5,47.0,2020-06-21 21:32:57.671304,2020-06-21 21:33:03.620970,0 days 00:00:05.949666000,0.015280330297531088,0.3774220805407934,0.5390202429937561,0.48169340776763653,0.2670272218397435,0,81,True,0.1520615328233393,COMPLETE
6,201.0,2020-06-21 21:33:03.622964,2020-06-21 21:34:40.726926,0 days 00:01:37.103962000,9.7966630066434,0.014987197174527022,0.2955003439197916,0.4653105266446596,0.3585444658411438,0,37,False,0.43607831215938525,COMPLETE
7,17.0,2020-06-21 21:34:40.728922,2020-06-21 21:34:44.689086,0 days 00:00:03.960164000,0.001628553095713192,0.4910308009502986,0.325584159400054,0.08111045030002492,0.23273581994697273,0,65,False,0.015969775217375456,COMPLETE
8,17.0,2020-06-21 21:34:44.691085,2020-06-21 21:34:48.338892,0 days 00:00:03.647807000,0.3341000220077099,0.0395104836514332,0.08651653848802883,0.4681071722388812,0.3983010145801931,0,24,False,0.028427698885174008,COMPLETE
9,125.0,2020-06-21 21:34:48.339890,2020-06-21 21:34:58.979790,0 days 00:00:10.639900000,0.021054901953628892,0.014937091645822586,0.21910661830258998,0.4576397353099019,0.13980695604635004,0,81,True,0.5862070089985423,COMPLETE
0,201.0,2020-06-21 21:58:40.197638,2020-06-21 21:58:47.321347,0 days 00:00:07.123709000,0.03388582794440545,0.42638957441578884,0.08480903165384537,0.41692173362957236,0.12409239335995674,0,25,False,5.7050864765759,COMPLETE
1,69.0,2020-06-21 21:58:47.323342,2020-06-21 21:58:52.420372,0 days 00:00:05.097030000,0.6257750318243206,0.43042573651105415,0.48465497960764,0.10701996206869226,0.127473083360319,0,47,True,0.005146280767346766,COMPLETE
2,9.0,2020-06-21 21:58:52.421369,2020-06-21 21:58:56.145494,0 days 00:00:03.724125000,0.0313098645186662,0.4592814405220954,0.004111427933196627,0.023190130278276263,0.391788543716765,0,60,False,0.017338438127287213,COMPLETE
3,201.0,2020-06-21 21:58:56.146491,2020-06-21 21:59:13.416888,0 days 00:00:17.270397000,4.705609101961611,0.4663784147353498,0.46307925980343917,0.5394088632448734,0.4920963070507648,0,78,True,1.8972161552989233,COMPLETE
4,9.0,2020-06-21 21:59:13.417886,2020-06-21 21:59:17.170282,0 days 00:00:03.752396000,0.07033308343291157,0.44282408815274216,0.09742439367228567,0.25761416501061324,0.18408303791344208,0,48,True,0.01909131390099684,COMPLETE
5,201.0,2020-06-21 21:59:17.171279,2020-06-21 21:59:31.380437,0 days 00:00:14.209158000,0.0021210614307358294,0.3308228247837818,0.05995500320660526,0.4136548690503075,0.35374558488847263,0,69,True,2.9208794791363584,COMPLETE
6,201.0,2020-06-21 21:59:31.381434,2020-06-21 21:59:38.569503,0 days 00:00:07.188069000,0.029674990720082745,0.46221626808184096,0.04784120256776354,0.22770649405306836,0.5139437202744574,0,29,False,1.6332041939559887,COMPLETE
7,184.0,2020-06-21 21:59:38.570500,2020-06-21 21:59:45.857106,0 days 00:00:07.286606000,0.051834589688815075,0.013741622778251666,0.36081071470237375,0.2443856518169821,0.40282157254251394,0,34,True,0.10162810221436139,COMPLETE
8,48.0,2020-06-21 21:59:45.858103,2020-06-21 21:59:50.003551,0 days 00:00:04.145448000,0.006936883458778154,0.03559723470865811,0.2551774214459021,0.025014116014930934,0.46229804808387764,0,24,True,0.16088809984693558,COMPLETE
9,201.0,2020-06-21 21:59:50.004549,2020-06-21 22:00:00.654818,0 days 00:00:10.650269000,0.016497038568385265,0.30862272642568495,0.37642157888718225,0.2369829208846596,0.08837921808585028,0,56,False,1.8201442070819998,COMPLETE
0,95.0,2020-06-21 22:00:00.683742,2020-06-21 22:00:09.139327,0 days 00:00:08.455585000,2.877865701299721,0.4837065849636807,0.028340547367738028,0.09729186323813967,0.07305613146354266,0,75,True,0.0028542824223450284,COMPLETE
1,71.0,2020-06-21 22:00:09.141336,2020-06-21 22:00:15.416704,0 days 00:00:06.275368000,0.009365924666682434,0.11206769281686776,0.5426587919700304,0.010707386791629633,0.2588926384615439,0,73,False,0.2723830313939091,COMPLETE
2,23.0,2020-06-21 22:00:15.417701,2020-06-21 22:00:19.809488,0 days 00:00:04.391787000,0.6361637230139019,0.5815416911630328,0.1496704232646615,0.17198010982677125,0.3115212795507728,0,69,False,0.0037868029292689913,COMPLETE
3,121.0,2020-06-21 22:00:19.810486,2020-06-21 22:00:25.991685,0 days 00:00:06.181199000,0.18555073599403074,0.06027715437753107,0.5543807549335228,0.4884693245057159,0.32525429521942995,0,36,True,0.4262308216760384,COMPLETE
4,16.0,2020-06-21 22:00:25.992683,2020-06-21 22:00:30.355227,0 days 00:00:04.362544000,0.001390302253495775,0.017422148330847834,0.018176120631878002,0.3658054897401978,0.570397095106632,0,88,True,0.02977278877643701,COMPLETE
5,201.0,2020-06-21 22:00:30.356224,2020-06-21 22:00:37.567215,0 days 00:00:07.210991000,1.7943774858664998,0.5939936547652493,0.33162078396559586,0.3331952212856983,0.12104315943370585,0,30,True,0.007476975315949169,COMPLETE
6,30.0,2020-06-21 22:00:37.568212,2020-06-21 22:00:42.482375,0 days 00:00:04.914163000,1.1419837418459788,0.08836202465437233,0.4517638729392452,0.49175299104591585,0.1238990608155264,0,67,False,0.049206984792185125,COMPLETE
7,201.0,2020-06-21 22:00:42.483372,2020-06-21 22:00:55.534490,0 days 00:00:13.051118000,0.1197671024960608,0.47357323914624067,0.2724882608194765,0.05865836415032267,0.3695747883593868,0,63,True,3.903747433205444,COMPLETE
8,135.0,2020-06-21 22:00:55.535456,2020-06-21 22:01:02.314717,0 days 00:00:06.779261000,2.107573719452872,0.13556495369780683,0.4131850697705183,0.34437464559838527,0.4035436731420617,0,40,False,0.06857418604022851,COMPLETE
9,201.0,2020-06-21 22:01:02.315714,2020-06-21 22:01:13.077538,0 days 00:00:10.761824000,0.014160474542983881,0.07097664561570655,0.522037954746977,0.03802629471159072,0.2080319295610083,0,71,False,0.33954742212956285,COMPLETE
0,201.0,2020-06-21 22:07:12.604558,2020-06-21 22:07:35.441266,0 days 00:00:22.836708000,2.278292977331048,0.05822269997011658,0.1231864353045948,0.3432773954118316,0.3635415000430609,0,98,True,1.9268849124420049,COMPLETE
1,201.0,2020-06-21 22:07:35.442230,2020-06-21 22:07:44.324638,0 days 00:00:08.882408000,0.0037145456643855107,0.42177543518036015,0.47121643114241163,0.5512797139791389,0.5334043818980699,0,38,False,4.252722775017231,COMPLETE
2,13.0,2020-06-21 22:07:44.325636,2020-06-21 22:07:48.444617,0 days 00:00:04.118981000,0.03346795211289731,0.46608997388732704,0.4100502638483821,0.38049626280653004,0.5282238986238331,0,82,False,0.0825842238677803,COMPLETE
3,201.0,2020-06-21 22:07:48.445615,2020-06-21 22:07:55.426997,0 days 00:00:06.981382000,1.8815055655510888,0.09788674660124576,0.3709852496694931,0.08311703045143266,0.5081908953766204,0,34,False,0.06600689442618325,COMPLETE
4,58.0,2020-06-21 22:07:55.427994,2020-06-21 22:08:00.792341,0 days 00:00:05.364347000,0.01780066719994831,0.3411832098818443,0.20112974950974385,0.11559365343364338,0.10346938538622232,0,50,True,0.15213651530941863,COMPLETE
5,61.0,2020-06-21 22:08:00.793338,2020-06-21 22:08:06.796858,0 days 00:00:06.003520000,0.059709467329034725,0.2234412812019059,0.18962826553452505,0.13416842696906464,0.30410163929382766,0,62,True,1.3940107620934867,COMPLETE
6,52.0,2020-06-21 22:08:06.798853,2020-06-21 22:08:13.032614,0 days 00:00:06.233761000,0.013336028335026043,0.3632614792959569,0.40980617199636493,0.5904978957905189,0.5811269205367441,0,80,False,0.0013349084816919197,COMPLETE
7,154.0,2020-06-21 22:08:13.033612,2020-06-21 22:08:20.820504,0 days 00:00:07.786892000,0.12940381471315984,0.4877636960744801,0.562788701057476,0.1694750615775777,0.5737760250376841,0,51,False,0.011103045537432996,COMPLETE
8,41.0,2020-06-21 22:08:20.821502,2020-06-21 22:08:25.138474,0 days 00:00:04.316972000,0.012982238929038135,0.4460478579464541,0.09129789897360915,0.22939739907439174,0.10812932568484811,0,32,True,0.0321052425142974,COMPLETE
9,98.0,2020-06-21 22:08:25.139471,2020-06-21 22:08:31.871122,0 days 00:00:06.731651000,3.0904431816156985,0.5490159475589889,0.07052207929346457,0.27518623104089146,0.4078699614993539,0,49,True,0.004392228557959171,COMPLETE
0,28.0,2020-06-21 22:08:31.897053,2020-06-21 22:08:35.815052,0 days 00:00:03.917999000,0.18645587292092955,0.24053200796434343,0.19925375635733675,0.08076403853583318,0.43319089520958504,0,30,True,0.06012343083059228,COMPLETE
1,35.0,2020-06-21 22:08:35.816050,2020-06-21 22:08:40.992918,0 days 00:00:05.176868000,0.03779854823132049,0.16843421324343588,0.18459099710635343,0.3589165792664316,0.17647153235143329,0,71,True,0.15308390449598258,COMPLETE
2,80.0,2020-06-21 22:08:40.993916,2020-06-21 22:08:47.167054,0 days 00:00:06.173138000,1.0239088331662438,0.5167119544439499,0.1148104776374255,0.015965655659330554,0.31855312730720753,0,58,True,0.020473298184470332,COMPLETE
3,201.0,2020-06-21 22:08:47.169049,2020-06-21 22:09:06.597310,0 days 00:00:19.428261000,0.9990746514798081,0.0962993441704833,0.06773208319646029,0.20261188882512848,0.39628949262581686,0,99,False,1.7438618266685812,COMPLETE
4,201.0,2020-06-21 22:09:06.598307,2020-06-21 22:09:15.243323,0 days 00:00:08.645016000,0.0027023785981775505,0.43778651093025855,0.11847219819213824,0.15548253934349449,0.2787465077521074,0,35,False,3.0230360287358593,COMPLETE
5,28.0,2020-06-21 22:09:15.244321,2020-06-21 22:09:19.514536,0 days 00:00:04.270215000,0.5497577339793652,0.5935147134247549,0.04775445083712717,0.5715937164889984,0.017959073042761137,0,38,True,0.008450370724054045,COMPLETE
6,57.0,2020-06-21 22:09:19.515534,2020-06-21 22:09:24.317689,0 days 00:00:04.802155000,0.03618512918353933,0.1407011315729031,0.17026576429878257,0.21874703998141978,0.3936401987637076,0,35,True,0.8277649240373988,COMPLETE
7,9.0,2020-06-21 22:09:24.318686,2020-06-21 22:09:28.067548,0 days 00:00:03.748862000,0.2630575200792038,0.07179851020927358,0.5578203135213434,0.24132793940305874,0.5987403375436174,0,58,True,0.05334782421620754,COMPLETE
8,17.0,2020-06-21 22:09:28.068545,2020-06-21 22:09:32.528958,0 days 00:00:04.460413000,0.0335346992776236,0.4810053201972184,0.5363837717818576,0.1206703202574649,0.37349504273507816,0,64,True,0.007726368272998544,COMPLETE
9,110.0,2020-06-21 22:09:32.529956,2020-06-21 22:09:42.271106,0 days 00:00:09.741150000,0.02027887327619219,0.2488205906930159,0.10593035075528258,0.5034379440181398,0.44891636412531605,0,70,True,0.008719176602445115,COMPLETE
0,201.0,2020-06-22 20:47:50.908302,2020-06-22 20:47:59.525553,0 days 00:00:08.617251000,4.731274060645838,0.10157496037786186,0.42842648515516324,0.24327042668046675,0.14604934503447708,0,27,True,0.16395707908060295,COMPLETE
1,201.0,2020-06-22 20:47:59.527580,2020-06-22 20:48:11.693270,0 days 00:00:12.165690000,0.5869436183691048,0.08254267104996847,0.5383760387650732,0.3098476069157956,0.3053985784714244,0,66,False,2.1675453420352935,COMPLETE
2,201.0,2020-06-22 20:48:11.694267,2020-06-22 20:48:32.795614,0 days 00:00:21.101347000,7.927971893387557,0.3995970800037886,0.34158312149454717,0.42808232473221275,0.01983123631766128,0,75,False,0.06919649262262759,COMPLETE
3,48.0,2020-06-22 20:48:32.796611,2020-06-22 20:48:38.615570,0 days 00:00:05.818959000,0.08499916891970774,0.014519480219814408,0.16749109540310672,0.18933956237067004,0.11516602990533586,0,82,False,0.2492182466135536,COMPLETE
4,201.0,2020-06-22 20:48:38.616567,2020-06-22 20:48:47.541266,0 days 00:00:08.924699000,0.06349763970384364,0.24945539049425358,0.09428051983195511,0.06477752913902127,0.3621659242566774,0,46,True,0.3137836403222656,COMPLETE
5,88.0,2020-06-22 20:48:47.542264,2020-06-22 20:48:53.359634,0 days 00:00:05.817370000,0.002362974833701285,0.3892061736392977,0.11131862655765815,0.3373180323523323,0.39437581658440335,0,41,False,0.2695964785039424,COMPLETE
6,17.0,2020-06-22 20:48:53.360631,2020-06-22 20:48:57.546492,0 days 00:00:04.185861000,0.026683266541267823,0.061574106188212636,0.07578966887815036,0.2187939727580052,0.21399619788908403,0,60,False,0.16027706022161242,COMPLETE
7,201.0,2020-06-22 20:48:57.548487,2020-06-22 20:49:19.689478,0 days 00:00:22.140991000,0.05435392318091427,0.2877282954441188,0.12658423420932324,0.5177701087758145,0.06893938735218497,0,86,False,0.6588044021210786,COMPLETE
8,13.0,2020-06-22 20:49:19.690476,2020-06-22 20:49:24.070803,0 days 00:00:04.380327000,0.09809569789161565,0.32717276157837116,0.1945485142829525,0.18968633748418604,0.3292727593990499,0,92,False,0.004690055331403333,COMPLETE
9,201.0,2020-06-22 20:49:24.071800,2020-06-22 20:49:34.790012,0 days 00:00:10.718212000,4.547591256684032,0.14088809711698105,0.49732668694836957,0.27955276375093363,0.05508074297263174,0,47,False,0.323364969588973,COMPLETE
0,31.0,2020-06-22 20:49:35.204328,2020-06-22 20:49:39.974166,0 days 00:00:04.769838000,1.4958677382039445,0.027520736470301746,0.12677338772283295,0.2238933240908966,0.47123652126614235,0,69,False,0.08616636414318574,COMPLETE
1,201.0,2020-06-22 20:49:39.975163,2020-06-22 20:49:53.971042,0 days 00:00:13.995879000,1.8426308511858094,0.11973719406833913,0.3993665250984546,0.12647294521494962,0.2803762487137776,0,69,True,4.0828297259549196,COMPLETE
2,54.0,2020-06-22 20:49:53.971974,2020-06-22 20:49:59.177316,0 days 00:00:05.205342000,0.003589002032041515,0.11921975594992255,0.058784463563111726,0.16330251032504012,0.5201519227554648,0,47,False,0.004901883408475567,COMPLETE
3,32.0,2020-06-22 20:49:59.178314,2020-06-22 20:50:04.499619,0 days 00:00:05.321305000,0.4348431056876993,0.27376518632424807,0.5225244203157804,0.3308560164048357,0.4263119276678984,0,97,True,0.07039424765722029,COMPLETE
4,62.0,2020-06-22 20:50:04.500616,2020-06-22 20:50:09.169762,0 days 00:00:04.669146000,0.0015116011226354235,0.40630817999558666,0.1322243087907953,0.14460792384930554,0.01403793697438618,0,26,True,0.39523192801120505,COMPLETE
5,201.0,2020-06-22 20:50:09.170759,2020-06-22 20:50:20.948690,0 days 00:00:11.777931000,0.012200171805823128,0.5470111079066265,0.13511483950040715,0.45502497458066293,0.5843998808097904,0,61,False,1.0931603595166621,COMPLETE
6,201.0,2020-06-22 20:50:20.949687,2020-06-22 20:50:29.727850,0 days 00:00:08.778163000,0.005325561278554203,0.06464860160429574,0.15258858482248183,0.23081860497029924,0.3965377751330317,0,42,False,1.5066878581773273,COMPLETE
7,26.0,2020-06-22 20:50:29.728839,2020-06-22 20:50:34.636811,0 days 00:00:04.907972000,0.0016045106305386447,0.5114079146409473,0.2561476751636281,0.06881518265145793,0.17891934040584484,0,83,True,0.18363887397585194,COMPLETE
8,201.0,2020-06-22 20:50:34.637807,2020-06-22 20:50:54.529829,0 days 00:00:19.892022000,6.7494837291648055,0.3840682543293746,0.1964328851580244,0.41623007257519673,0.20166209570782417,0,84,False,0.07712154546397372,COMPLETE
9,33.0,2020-06-22 20:50:54.530763,2020-06-22 20:50:59.423705,0 days 00:00:04.892942000,0.0015455342768409207,0.29754269962560326,0.010748415025984018,0.3439941336616235,0.20702458146640063,0,64,False,0.007326969392377906,COMPLETE
0,18.0,2020-06-23 13:12:50.237562,2020-06-23 13:12:54.291328,0 days 00:00:04.053766000,0.21665214760023244,0.5653156457227768,0.04324783486366737,0.4783262292978587,0.11981168971563207,0,35,False,0.004706029516776927,COMPLETE
1,201.0,2020-06-23 13:12:54.292324,2020-06-23 13:13:24.038570,0 days 00:00:29.746246000,3.8925755564275044,0.11692239678380928,0.3312739230193322,0.047436399554816745,0.3676548778722064,0,81,True,4.176796109614666,COMPLETE
2,5.0,2020-06-23 13:13:24.040565,2020-06-23 13:13:28.014929,0 days 00:00:03.974364000,0.003123667852971614,0.3364196648727239,0.10418627492601916,0.1846513111763986,0.16335846460447653,0,34,False,0.0013697147174753128,COMPLETE
3,106.0,2020-06-23 13:13:28.016924,2020-06-23 13:13:35.910797,0 days 00:00:07.893873000,0.00520775553223562,0.4086568480585613,0.43255454375809055,0.4662510486482838,0.2794753514556087,0,37,False,0.0029299654790511855,COMPLETE
4,96.0,2020-06-23 13:13:35.912793,2020-06-23 13:13:43.462129,0 days 00:00:07.549336000,1.7839362244597672,0.5558397161642417,0.5436317747513818,0.2619537717121728,0.4470148265908685,0,55,False,0.08966423660521287,COMPLETE
5,132.0,2020-06-23 13:13:43.464124,2020-06-23 13:13:51.559493,0 days 00:00:08.095369000,0.4974799253295926,0.5024441601974249,0.05385857087283584,0.38055846076927957,0.4997351886618409,0,42,True,0.3331736776300172,COMPLETE
6,47.0,2020-06-23 13:13:51.561488,2020-06-23 13:13:57.946422,0 days 00:00:06.384934000,0.04030841733076366,0.16897459028392958,0.43407268519898623,0.48047674885475194,0.1022695260989762,0,60,False,0.18169541627214628,COMPLETE
7,192.0,2020-06-23 13:13:57.947420,2020-06-23 13:14:08.663258,0 days 00:00:10.715838000,0.020327490917968778,0.38711321177383196,0.5410192732679601,0.38305996162145634,0.3979302015184185,0,47,True,0.3743794486861864,COMPLETE
8,8.0,2020-06-23 13:14:08.664255,2020-06-23 13:14:12.922391,0 days 00:00:04.258136000,0.0014955831560117857,0.5734939986898752,0.5446209485696071,0.4198900832425195,0.518531382859532,0,86,True,0.12829404461157543,COMPLETE
9,201.0,2020-06-23 13:14:12.923388,2020-06-23 13:14:20.326598,0 days 00:00:07.403210000,1.8026971095217832,0.16584819454742825,0.3552065608620056,0.05692803217507024,0.3602542704484123,0,32,True,0.017451425340961554,COMPLETE
